ISO3,Sub-region,Intermediate region
DZA,Northern Africa,Northern Africa
AGO,Sub-Saharan Africa,Middle Africa
BEN,Sub-Saharan Africa,Western Africa
BWA,Sub-Saharan Africa,Southern Africa
IOT,Sub-Saharan Africa,Eastern Africa
BFA,Sub-Saharan Africa,Western Africa
BDI,Sub-Saharan Africa,Eastern Africa
CPV,Sub-Saharan Africa,Western Africa
CMR,Sub-Saharan Africa,Middle Africa
CAF,Sub-Saharan Africa,Middle Africa
TCD,Sub-Saharan Africa,Middle Africa
COM,Sub-Saharan Africa,Eastern Africa
COG,Sub-Saharan Africa,Middle Africa
COD,Sub-Saharan Africa,Middle Africa
CIV,Sub-Saharan Africa,Western Africa
DJI,Sub-Saharan Africa,Eastern Africa
EGY,Northern Africa,Northern Africa
GNQ,Sub-Saharan Africa,Middle Africa
ERI,Sub-Saharan Africa,Eastern Africa
SWZ,Sub-Saharan Africa,Southern Africa
ETH,Sub-Saharan Africa,Eastern Africa
ATF,Sub-Saharan Africa,Eastern Africa
GAB,Sub-Saharan Africa,Middle Africa
GMB,Sub-Saharan Africa,Western Africa
GHA,Sub-Saharan Africa,Western Africa
GIN,Sub-Saharan Africa,Western Africa
GNB,Sub-Saharan Africa,Western Africa
KEN,Sub-Saharan Africa,Eastern Africa
LSO,Sub-Saharan Africa,Southern Africa
LBR,Sub-Saharan Africa,Western Africa
LBY,Northern Africa,Northern Africa
MDG,Sub-Saharan Africa,Eastern Africa
MWI,Sub-Saharan Africa,Eastern Africa
MLI,Sub-Saharan Africa,Western Africa
MRT,Sub-Saharan Africa,Western Africa
MUS,Sub-Saharan Africa,Eastern Africa
MYT,Sub-Saharan Africa,Eastern Africa
MAR,Northern Africa,Northern Africa
MOZ,Sub-Saharan Africa,Eastern Africa
NAM,Sub-Saharan Africa,Southern Africa
NER,Sub-Saharan Africa,Western Africa
NGA,Sub-Saharan Africa,Western Africa
REU,Sub-Saharan Africa,Eastern Africa
RWA,Sub-Saharan Africa,Eastern Africa
SHN,Sub-Saharan Africa,Western Africa
STP,Sub-Saharan Africa,Middle Africa
SEN,Sub-Saharan Africa,Western Africa
SYC,Sub-Saharan Africa,Eastern Africa
SLE,Sub-Saharan Africa,Western Africa
SOM,Sub-Saharan Africa,Eastern Africa
ZAF,Sub-Saharan Africa,Southern Africa
SSD,Sub-Saharan Africa,Eastern Africa
SDN,Northern Africa,Northern Africa
TZA,Sub-Saharan Africa,Eastern Africa
TGO,Sub-Saharan Africa,Western Africa
TUN,Northern Africa,Northern Africa
UGA,Sub-Saharan Africa,Eastern Africa
ESH,Northern Africa,Northern Africa
ZMB,Sub-Saharan Africa,Eastern Africa
ZWE,Sub-Saharan Africa,Eastern Africa
